cluster_number,cluster_size
9,45377
2982,4970
2005,4714
1921,4335
1969,3925
2221,3379
14590,2035
9519,1970
1923,1841
1957,1800
21937,1735
13873,1610
1930,1455
9605,1328
2038,1303
1935,1202
1928,1128
1340,1111
2030,1000
2092,999
1978,978
1992,973
1918,939
21981,907
1925,901
21911,883
9564,875
14595,865
1975,860
1995,853
21936,850
21950,848
1990,834
9559,834
9765,827
29,780
18763,727
2286,719
22055,707
1954,705
12051,703
2011,656
16420,640
2125,618
9536,609
2093,608
22044,605
18778,604
2489,584
21954,582
22045,581
2000,575
9533,572
22057,569
21898,561
2242,546
21891,538
2029,536
21902,532
6117,524
22080,523
44,520
9540,507
9609,496
9618,494
22086,493
9551,476
9512,475
16303,473
22043,471
18875,456
9707,443
9669,439
2168,435
22,434
21,429
2136,428
2138,428
16439,423
21903,421
9624,419
21895,418
29360,414
2166,407
9944,406
1999,405
22048,402
2015,399
21977,399
2223,396
6118,389
2239,388
9504,386
2129,385
9637,384
9709,382
20,382
14619,381
9636,365
1979,361
1931,361
9555,359
1981,356
13882,351
2025,351
9507,351
18838,346
2319,346
9764,338
22123,336
18759,334
1949,333
1982,331
13878,331
9538,330
2124,329
22005,328
18895,327
9708,326
9562,325
9746,324
9568,317
2118,317
14174,313
18851,310
9505,310
27200,310
22008,310
1991,307
2037,307
2119,306
2134,303
9670,303
1922,300
18855,294
2181,294
2127,290
1983,289
9657,288
1933,285
18869,284
2130,284
2243,284
9528,279
22042,276
18820,275
27197,273
22056,272
2190,270
22051,268
22054,267
2046,265
3010,265
9656,262
14639,262
2246,261
21949,258
30006,257
2325,255
1917,255
14618,252
2080,251
2131,251
16416,250
27231,250
14681,249
22046,249
22047,248
18818,247
16359,245
22050,244
22067,242
14650,241
22004,240
9612,240
18871,237
27192,234
22232,232
2024,231
18839,230
9946,229
58,228
67,228
51,228
102,228
2220,228
9769,228
9558,227
22194,226
2094,222
2140,221
69,221
2326,221
2180,219
21980,218
27262,218
10193,218
2117,216
2041,212
22001,211
18833,210
16358,210
2122,210
21984,210
21910,208
2563,206
1962,206
9677,204
2132,203
21972,202
22058,201
1993,201
1998,201
9571,201
22192,200
21946,199
22016,196
27234,194
9671,194
9763,194
2750,192
22052,191
22118,191
10046,190
1929,190
27232,190
9535,189
21999,189
9585,189
9720,188
22089,188
2139,188
21988,184
9786,184
9509,184
11658,184
2388,183
22122,181
2249,181
18819,180
22013,178
22059,178
2082,178
2160,178
22014,177
2090,177
9639,174
22340,173
22087,172
1942,171
2042,171
9574,170
2087,170
2269,170
22085,169
9573,169
21987,168
22083,168
13880,167
21943,167
2070,167
2340,166
9881,166
9527,166
18796,165
30005,165
9694,165
66,165
22116,164
13888,164
22665,163
2375,163
2018,161
27235,160
2535,160
22298,160
21912,160
22170,159
2514,159
22019,159
1959,158
22020,157
2421,157
29730,157
1989,156
9805,155
16381,155
9634,154
9577,154
2064,153
1946,153
2247,152
2116,152
22181,151
21962,151
2063,151
14668,150
19026,150
14628,150
2431,150
2289,150
9695,149
22124,149
14600,149
9572,149
2175,148
27230,148
18854,148
22012,148
9553,148
22119,147
21983,145
18791,145
22053,144
2003,144
14661,144
1997,143
22271,143
2407,143
2236,143
9714,143
18847,142
22217,141
2121,141
9638,139
14614,139
2141,139
1944,138
2315,138
14646,138
9697,138
16422,137
22049,137
2163,137
18952,137
22018,135
16484,135
16435,134
9499,134
21973,134
18835,133
2684,133
49,133
2058,132
18984,132
27229,131
18784,130
9603,130
9696,130
27250,129
18822,128
9710,128
62,128
2629,127
16377,127
22084,127
2310,127
9715,127
27204,126
2376,126
2234,126
2248,126
2237,126
16508,125
27313,125
18876,125
2089,125
9919,125
2238,125
22296,124
9751,124
11524,124
18,124
2137,124
22121,123
2685,123
13905,123
9569,122
11008,122
27276,122
2373,122
9674,122
26,121
13249,121
22203,121
21958,120
2013,120
14621,120
18919,120
30427,120
22550,119
2061,119
22218,119
21907,119
30035,118
9727,118
18762,118
21896,118
27389,118
9716,118
18905,117
14606,117
27312,117
22149,117
9698,117
13877,116
14712,116
2078,116
15042,116
2053,116
2039,116
2668,115
18775,115
2153,115
2374,115
18821,115
22216,115
9658,115
13874,114
22017,114
21985,114
2173,114
21897,114
9592,114
2674,113
2318,113
22010,113
9726,113
9578,113
2120,112
19040,112
2010,112
18934,112
9973,111
16366,111
18852,111
9803,111
2427,111
22447,111
10287,109
2676,109
1987,109
16458,109
21976,109
2020,109
2671,108
18834,108
22291,107
14624,107
22445,107
9999,107
22418,107
16382,106
9595,106
2675,106
2213,106
18935,106
9610,106
2178,105
2422,105
1636,105
2034,105
2150,105
2226,105
9830,104
52,104
19136,104
22272,104
18836,104
9955,103
9772,103
18947,103
22505,103
18936,103
9606,103
9728,103
9821,103
2688,103
21996,103
22068,102
22266,102
18760,102
9828,102
78,102
2216,102
14672,102
19086,102
2088,102
18803,102
13914,101
2672,101
18785,101
10085,101
2628,100
9633,100
2517,100
10013,100
19124,99
9582,99
2176,99
10021,99
2085,99
2397,98
3241,98
38,98
2419,98
27243,98
10158,98
22158,98
9693,98
30414,97
19071,97
22188,97
22503,97
2086,97
19011,97
9766,96
13896,96
2081,96
2336,96
2055,96
2307,96
2235,96
30396,95
2073,95
19038,95
2019,95
9730,95
22015,94
22069,94
9681,94
18873,94
2218,94
18845,93
9584,93
9366,93
14620,93
22273,92
9643,92
10064,92
9617,92
21978,92
16421,92
2069,91
14613,91
2677,91
10281,91
2364,91
14705,91
18795,91
18783,91
22130,91
10025,90
21975,90
2681,89
9614,89
21929,89
18900,89
9856,89
18793,89
21905,89
9554,89
14629,89
22172,89
2083,89
9801,89
2416,88
9800,88
22162,88
16427,88
22157,88
9597,88
16663,88
1948,88
75,88
9611,88
9757,88
16417,88
9557,87
14610,87
9857,87
2434,87
9635,87
14706,87
22253,87
9575,86
2526,86
9622,86
19058,86
9787,86
18943,86
76,86
2645,86
10186,85
16393,85
9692,85
2232,85
22159,84
2435,84
22312,84
9590,84
9770,84
21974,84
9807,84
2128,84
10026,84
27287,83
9907,83
18891,83
2469,83
18807,83
9586,83
2076,83
9817,83
2054,83
16371,83
19051,82
9965,82
135,82
14649,82
9804,82
47,82
2079,82
19084,82
10015,82
22204,82
18904,81
22175,81
2044,81
22094,81
18761,81
27296,80
9654,80
2035,80
10201,80
9848,80
2485,80
2471,80
2299,79
16424,79
2337,79
18798,79
50,79
3063,79
14645,79
9858,79
22269,79
22000,79
40,79
2062,78
10018,78
2177,78
53,78
68,78
2142,78
27191,78
21990,77
10000,77
9840,77
18961,77
165,77
16689,77
22279,77
2428,77
22829,77
16419,77
279,77
166,77
12316,76
22588,76
2414,76
16510,76
2040,76
13904,76
19137,76
42,76
27210,76
22101,76
16537,75
22442,75
9908,75
19012,75
3218,74
173,74
18884,74
18805,74
9718,74
21915,73
22330,73
9537,73
27202,73
21894,73
2409,73
22237,73
18890,73
14627,73
2211,72
22725,72
21970,72
2695,72
9561,72
9742,72
2156,72
22235,72
18910,72
2091,71
9849,71
172,71
12552,71
10176,71
2060,71
22140,70
22233,70
22002,70
21901,70
9785,70
1932,70
18794,69
9784,69
16413,69
14789,69
2917,69
19033,69
18797,69
2217,68
10060,68
136,68
18907,68
17113,68
22408,68
2056,68
2077,68
2017,68
22021,68
9810,68
30428,68
9615,68
30395,67
21944,67
10128,67
9724,67
18928,67
2067,67
14615,67
9655,67
22634,67
9619,67
1867,66
21995,66
18888,66
18881,66
2279,66
9607,66
22262,66
27222,66
14748,66
14692,65
22066,65
9497,65
2666,65
19159,65
16103,65
2348,65
9987,65
22191,64
30014,64
14630,64
9843,64
2934,64
2913,64
10062,64
2316,64
18906,64
1866,63
22817,63
22022,63
18860,63
9802,63
18958,63
21998,63
48,63
9957,63
2162,63
18801,63
2520,63
9723,63
18853,63
59,63
1976,62
2272,62
22501,62
2022,62
2680,62
9673,62
9748,62
2196,62
22382,62
16569,62
2215,62
9953,62
22283,62
9616,62
18868,62
27233,62
18965,62
22502,61
10286,61
2448,61
21900,61
1980,61
2963,61
19235,61
14752,61
21938,61
9902,61
23,61
10280,61
30034,61
14623,60
2059,60
9560,60
18915,60
10076,60
22958,60
18856,60
109,60
22566,60
22407,60
19114,60
2344,60
19010,59
10284,59
14701,59
2393,59
2317,59
2351,59
164,59
1977,59
2930,59
18771,59
22450,59
10056,59
9877,59
4370,59
15101,59
22113,59
2625,59
27209,58
131,58
16379,58
19062,58
22081,58
37,58
105,58
14713,58
14738,58
2359,58
10171,57
2321,57
16641,57
2084,57
161,57
2591,57
27182,57
2240,57
21971,57
10155,57
10308,57
10167,57
9780,57
18773,57
19083,57
2644,57
30430,57
2931,57
2312,57
18953,57
27176,57
98,57
18918,56
16519,56
22411,56
22270,56
22231,56
9623,56
27375,56
22179,56
2264,56
3150,56
14708,56
21963,56
2569,56
21913,56
22409,56
21986,56
2800,56
177,56
1961,56
1943,56
1941,55
2347,55
22473,55
1953,55
22259,55
4,55
13895,55
18815,55
27305,55
22960,55
2157,55
2406,55
22559,55
9604,55
9620,55
2411,54
9928,54
16362,54
9513,54
3322,54
16676,54
11492,54
9516,54
22039,54
22380,54
2195,54
16375,54
10310,54
10133,54
10129,54
2245,54
132,53
19094,53
22405,53
16374,53
18933,53
72,53
9514,53
10063,53
22145,53
16418,53
9759,53
22569,53
22329,53
10087,53
27353,53
4035,53
10159,53
22741,53
22190,53
22372,52
9811,52
122,52
9822,52
22880,52
9898,52
18944,52
2189,52
22176,52
9890,52
1984,52
2451,52
21969,52
22171,52
9675,52
9956,52
27221,52
3119,52
22438,52
289,51
19023,51
9550,51
2737,51
9534,51
160,50
15,50
29734,50
290,50
22289,50
16511,50
2408,50
9824,50
2174,50
2346,50
10045,50
9872,50
1963,50
9329,50
9823,50
1994,49
36,49
21945,49
13787,49
30458,49
22498,49
2799,49
2187,49
2464,49
123,49
22810,49
22077,49
2562,49
18956,49
9328,49
9498,49
22452,49
27175,49
2452,49
16615,49
27179,49
19021,48
2550,48
2447,48
19044,48
0,48
9852,48
10053,48
13884,48
241,48
10156,48
22180,48
21941,48
9773,48
9771,48
16712,48
16769,48
178,48
16405,48
9899,48
22404,48
10397,48
27342,48
22182,48
2036,48
2837,48
21967,48
11296,48
16607,47
16402,47
14608,47
14616,47
19459,47
22523,47
2,47
14,47
10160,47
1,47
22284,47
2851,47
81,47
1945,47
71,47
22319,47
403,47
3016,47
21951,47
10410,47
19008,47
14657,47
22727,47
18998,47
46,47
2114,47
21997,47
21890,47
2410,46
14802,46
22255,46
2260,46
18880,46
21892,46
2300,46
22023,46
9846,46
2333,46
18770,46
10703,46
2811,46
18765,46
9591,46
16675,46
16499,46
10391,46
2147,46
23009,45
9775,45
13897,45
18787,45
16701,45
19675,45
19068,45
14633,45
10070,45
16370,45
16450,45
2265,45
9541,45
16558,45
2341,45
16385,45
27568,45
14652,45
9878,45
10111,45
9834,44
10282,44
27295,44
179,44
2739,44
10274,44
2579,44
16844,44
16441,44
16442,44
27516,44
16360,44
16414,44
22383,44
23386,44
2659,44
29733,44
19056,44
4647,44
2305,44
22973,44
14816,44
18804,43
23786,43
202,43
2135,43
30017,43
13959,43
10109,43
1919,43
22468,43
16690,43
2335,43
22381,43
398,43
2503,43
10132,43
9914,43
16415,43
9779,43
2113,43
9983,43
9833,43
18811,43
188,43
2334,43
2592,42
18993,42
10489,42
10257,42
16403,42
18790,42
27688,42
23177,42
5929,42
121,42
2813,42
2417,42
22332,42
9937,42
11273,42
2256,42
9602,42
2028,42
19022,42
22230,42
18861,42
35,42
18786,42
22258,42
18877,42
2026,42
9583,42
19128,41
9579,41
19034,41
13917,41
19316,41
27273,41
4102,41
16634,41
2453,41
16630,41
27382,41
2425,41
14353,41
9904,41
27624,41
16571,41
5,41
16902,41
19057,41
21992,41
22522,41
16735,41
19234,41
16711,41
3320,41
14913,41
14591,41
9544,41
19096,41
74,40
6,40
2933,40
2898,40
3,40
27266,40
10110,40
16746,40
27208,40
22339,40
22353,40
2362,40
2646,40
3191,40
2696,40
9873,40
19168,40
10182,40
9903,40
14593,40
11276,40
9943,40
18979,40
22261,40
2456,40
2580,40
9936,40
9758,40
22003,39
3030,39
397,39
19586,39
2429,39
2287,39
27431,39
124,39
16758,39
22768,39
22802,39
16541,39
18967,39
2262,39
9581,39
2524,39
3630,39
9678,39
16478,39
22161,39
9753,39
9897,39
18909,39
10301,39
22962,39
10105,39
3154,39
3004,39
2678,39
2339,39
18776,39
9563,39
16384,39
19183,39
9985,39
9625,39
2852,38
22240,38
14754,38
14638,38
2582,38
22456,38
3334,38
21893,38
30425,38
16399,38
2842,38
2291,38
10863,38
190,38
2693,38
1916,38
14921,38
2841,38
529,38
2328,38
10424,38
1986,38
27344,38
2171,38
9900,38
9778,38
9935,38
3599,38
18846,38
10423,38
14797,38
13919,38
16612,38
21947,38
18830,37
16729,37
3152,37
18837,37
16542,37
22195,37
2047,37
22011,37
30460,37
22565,37
16643,37
3226,37
2682,37
22538,37
19013,37
21979,37
9556,37
10120,37
19135,37
10157,37
9750,37
22864,37
19019,37
22927,37
9774,37
19060,36
2301,36
22464,36
19065,36
18779,36
23055,36
2697,36
27201,36
9952,36
22837,36
9676,36
2609,36
2551,36
2590,36
19024,36
19016,36
2033,36
4036,36
16585,36
23336,36
13876,36
9850,36
2901,36
18850,36
14823,35
10073,35
2259,35
23790,35
13898,35
14680,35
16516,35
2460,35
10521,35
30803,35
22287,35
4454,35
10366,35
22869,35
2583,35
27326,35
9942,35
8785,35
2423,35
22604,35
22131,35
18887,35
18892,35
9871,35
27270,35
22286,35
2993,35
9835,35
23838,35
2584,35
14961,35
19052,35
30394,35
22065,35
22103,35
2649,35
16515,34
9950,34
16554,34
2491,34
28551,34
22244,34
22823,34
10527,34
1937,34
10385,34
10393,34
2002,34
2390,34
2578,34
22281,34
17062,34
18788,34
22448,34
9608,34
10451,34
3310,34
22471,34
16933,34
275,34
22090,34
13924,34
3149,34
2133,34
3148,34
16648,34
13887,34
14958,34
2615,34
18955,34
20669,33
9626,33
22331,33
22040,33
19291,33
9875,33
2728,33
27484,33
2360,33
3972,33
2635,33
2546,33
3485,33
13921,33
9874,33
16498,33
16361,33
22093,33
22327,33
10450,33
22193,33
16570,33
9632,33
22178,33
22177,33
30020,33
189,33
13912,33
2110,33
9731,33
30397,33
2123,33
13923,33
10242,33
21989,33
9924,33
3526,33
19363,32
210,32
14673,32
22567,32
16388,32
16489,32
22248,32
16603,32
9627,32
2372,32
14824,32
17,32
120,32
57,32
195,32
2962,32
10910,32
21899,32
10058,32
10293,32
16665,32
3147,32
16376,32
110,32
10179,32
16391,32
11416,32
22549,32
22531,32
470,32
22389,32
22345,32
27481,32
10712,32
3309,32
22097,32
22406,32
14741,32
9596,32
16429,32
14703,32
16428,32
34,32
2097,32
8,32
10118,32
2103,32
13889,32
3060,31
18857,31
16476,31
14714,31
239,31
89,31
2735,31
3710,31
27450,31
10065,31
9506,31
2274,31
22410,31
390,31
10066,31
2860,31
18826,31
21932,31
19227,31
9631,31
9954,31
4451,31
2581,31
22867,31
22863,31
19226,31
2322,31
27218,31
9806,31
27473,31
9894,31
3712,31
2188,31
2183,31
2752,31
22328,30
5733,30
10203,30
9829,30
16616,30
22670,30
10405,30
2861,30
22413,30
2095,30
4049,30
9940,30
22621,30
2426,30
19585,30
9888,30
17243,30
22236,30
252,30
9819,30
19140,30
3411,30
19167,30
22536,30
9998,30
30429,30
16854,30
3311,30
14739,30
3711,30
2277,30
3299,30
2075,30
9768,30
2531,30
2167,30
27220,30
2161,30
22114,30
30472,30
10104,30
10227,30
10236,30
14915,30
14770,30
3243,30
2669,30
2698,30
18792,30
22060,30
19081,30
2754,30
2990,30
2831,30
11115,30
18912,29
2483,29
3503,29
356,29
10449,29
435,29
22574,29
22760,29
9818,29
14640,29
14711,29
3394,29
10634,29
22243,29
2793,29
14710,29
22518,29
22128,29
10175,29
16763,29
29861,29
3174,29
21939,29
2043,29
21948,29
21940,29
2111,29
13954,29
2105,29
2107,29
16357,29
31397,29
16383,29
27277,29
2108,29
3308,29
19138,29
22105,29
22032,29
10713,29
9576,29
19015,29
22169,29
9502,29
16848,29
16636,29
19826,29
19263,29
229,29
2713,29
10081,29
10103,29
2756,29
80,29
23789,29
203,28
10043,28
14774,28
27226,28
23163,28
1973,28
2866,28
16692,28
2897,28
2824,28
39,28
18867,28
27423,28
14859,28
16257,28
3214,28
19020,28
11275,28
2009,28
219,28
14700,28
2795,28
2233,28
15125,28
11267,28
2612,28
2637,28
192,28
22653,28
22638,28
2396,28
2394,28
27758,28
3518,28
15031,28
22782,28
317,28
22812,28
17112,28
22795,28
22488,28
191,28
19221,28
9792,28
9876,28
2415,28
22197,28
10206,28
2230,28
2577,28
45,28
2884,28
10125,28
10061,28
2715,28
16785,28
16617,28
217,28
3155,28
19154,28
9598,28
19053,28
9960,28
10049,27
10097,27
19359,27
18832,27
2781,27
27300,27
13925,27
13981,27
2624,27
27343,27
22033,27
13886,27
2172,27
19080,27
16557,27
19110,27
19076,27
19059,27
16469,27
2749,27
4700,27
18772,27
9732,27
9755,27
22462,27
14905,27
14693,27
22472,27
2392,27
22785,27
11297,27
10404,27
3519,27
2481,27
30016,27
56,27
10462,27
22655,27
18799,27
22282,27
14946,27
22814,27
2507,27
10192,27
22110,27
2219,27
22109,27
22294,27
14935,27
9508,27
16488,27
17263,26
17379,26
2200,26
22198,26
15261,26
10204,26
10188,26
3443,26
22358,26
10184,26
14929,26
3483,26
2490,26
3439,26
14622,26
22484,26
9570,26
2798,26
447,26
9630,26
22660,26
22674,26
9816,26
10455,26
2459,26
2455,26
2389,26
22619,26
412,26
406,26
416,26
2395,26
22075,26
2169,26
16579,26
16486,26
22006,26
21991,26
22961,26
2991,26
22970,26
10041,26
14318,26
9567,26
19017,26
19049,26
2170,26
16836,26
19122,26
16610,26
2714,26
10093,26
9503,26
30459,26
1951,26
2772,26
4702,26
4703,26
27430,26
4704,26
16734,26
104,26
11147,26
2832,26
14821,26
14846,26
63,25
87,25
1955,25
16686,25
1920,25
19914,25
23322,25
23314,25
3145,25
9628,25
4075,25
22620,25
3664,25
22605,25
16633,25
10092,25
19191,25
433,25
22200,25
27189,25
13885,25
31452,25
16432,25
18988,25
22415,25
11284,25
2530,25
3432,25
3749,25
2801,25
16976,25
19039,25
19046,25
11277,25
3298,25
14002,25
23435,25
19499,25
2626,25
2632,25
23128,25
18829,25
2475,25
13900,25
31827,25
2647,25
16780,25
2585,25
22866,25
2587,25
18849,25
90,25
147,25
29949,25
2826,25
9879,25
18809,25
9756,25
19434,24
16522,24
17356,24
18827,24
3686,24
19190,24
22784,24
22459,24
16575,24
14689,24
16530,24
14592,24
22475,24
5730,24
18945,24
28083,24
9683,24
4699,24
2755,24
19115,24
3158,24
2751,24
3159,24
30489,24
20317,24
22720,24
19097,24
16688,24
2971,24
19315,24
82,24
10491,24
108,24
107,24
2893,24
2896,24
23091,24
2956,24
18841,24
196,24
2648,24
14867,24
3980,24
769,24
27177,24
22088,24
23635,24
11270,24
3497,24
16892,24
16856,24
4557,24
11278,24
9566,24
3318,24
2252,24
19433,24
16493,24
9686,24
4452,24
3409,24
3408,24
2206,24
2185,24
