prob_class_0,prob_class_1,prob_class_2,prob_class_3,max_probability,predicted_class,predicted_class_name
0.9998778,1.1541224e-07,6.464761e-06,0.00011562272,0.9998778,0,none
0.999972,8.825671e-07,2.2392571e-06,2.4888966e-05,0.999972,0,none
0.99997115,1.7367421e-08,1.6340433e-05,1.2461746e-05,0.99997115,0,none
0.9999988,1.7053601e-07,3.2367726e-07,7.374449e-07,0.9999988,0,none
0.9999355,5.703377e-08,4.4043398e-05,2.0352656e-05,0.9999355,0,none
0.999977,1.1501784e-06,8.331213e-06,1.3563217e-05,0.999977,0,none
0.9999664,1.1691431e-05,1.05414765e-05,1.1346799e-05,0.9999664,0,none
0.99999475,4.5425136e-06,3.9121454e-07,2.7406384e-07,0.99999475,0,none
0.99998224,1.427972e-05,1.1260452e-06,2.375554e-06,0.99998224,0,none
0.99998844,9.793144e-06,1.8199523e-07,1.6353334e-06,0.99998844,0,none
0.9999963,4.7718726e-07,1.3709716e-07,3.0716335e-06,0.9999963,0,none
0.9999864,1.0464681e-05,4.803054e-07,2.6524644e-06,0.9999864,0,none
0.9999938,1.946361e-08,2.6100465e-06,3.5736196e-06,0.9999938,0,none
0.9999974,1.8067416e-08,1.2286869e-06,1.3579613e-06,0.9999974,0,none
0.99999726,1.8172837e-07,3.443593e-07,2.2282213e-06,0.99999726,0,none
0.9999809,1.05804965e-07,1.7400942e-05,1.5754291e-06,0.9999809,0,none
0.99996793,7.770764e-06,3.083221e-06,2.1228645e-05,0.99996793,0,none
0.9999926,1.2408515e-07,5.3872e-06,1.8608293e-06,0.9999926,0,none
0.999895,5.887731e-08,9.892094e-05,6.001131e-06,0.999895,0,none
0.9999666,2.6620097e-07,3.29124e-05,1.441447e-07,0.9999666,0,none
0.9999906,4.718114e-07,7.2520006e-06,1.6737794e-06,0.9999906,0,none
0.9999989,1.2944209e-07,8.658883e-07,2.9166316e-08,0.9999989,0,none
0.9999974,2.2700218e-07,9.116243e-07,1.4421138e-06,0.9999974,0,none
0.9999571,3.953272e-05,2.714784e-06,7.1317794e-07,0.9999571,0,none
0.9999962,1.6233457e-06,1.2405691e-06,9.561021e-07,0.9999962,0,none
0.99995387,4.353257e-07,7.724925e-06,3.794915e-05,0.99995387,0,none
0.9999931,2.1199812e-06,6.7267405e-07,4.131465e-06,0.9999931,0,none
0.99998283,1.711654e-06,1.45321965e-05,8.9836414e-07,0.99998283,0,none
0.99999857,1.3086382e-06,1.153222e-07,2.400194e-08,0.99999857,0,none
0.99999917,1.8532252e-07,1.3410279e-07,4.782041e-07,0.99999917,0,none
0.9999852,3.3711378e-06,9.8861055e-06,1.5184971e-06,0.9999852,0,none
0.999967,6.241233e-08,3.2836888e-05,9.294268e-08,0.999967,0,none
0.999995,2.8229184e-07,3.9864904e-06,7.3962406e-07,0.999995,0,none
0.99999917,8.9660396e-08,3.2345832e-07,3.9745206e-07,0.99999917,0,none
0.9999987,2.7990392e-08,3.1726543e-07,9.735348e-07,0.9999987,0,none
0.9999982,1.3873115e-06,1.5187e-07,2.7123141e-07,0.9999982,0,none
0.9999988,9.960421e-07,5.9283366e-08,1.3514719e-07,0.9999988,0,none
0.9999995,3.836549e-08,7.443212e-08,3.9622034e-07,0.9999995,0,none
0.9999995,1.681364e-07,1.06957614e-07,1.5594034e-07,0.9999995,0,none
0.9999944,4.863584e-06,5.9278386e-07,1.8669125e-07,0.9999944,0,none
0.9999982,1.3712044e-07,1.5929954e-06,9.522307e-08,0.9999982,0,none
0.9999969,9.276574e-07,1.6331435e-06,5.8085595e-07,0.9999969,0,none
0.9999994,5.522273e-07,5.083541e-08,2.9589378e-08,0.9999994,0,none
0.9999964,4.8311484e-09,3.2717803e-06,3.286464e-07,0.9999964,0,none
0.9999989,6.3100833e-07,3.284185e-07,5.636557e-08,0.9999989,0,none
0.99999905,3.2193967e-08,8.855115e-07,7.370941e-09,0.99999905,0,none
0.9999999,1.1131572e-08,7.385151e-08,1.8225151e-08,0.9999999,0,none
0.99999976,7.359066e-08,1.2144903e-07,2.0477136e-08,0.99999976,0,none
0.9999995,1.5161926e-07,3.3412594e-08,2.6726033e-07,0.9999995,0,none
0.9999957,3.6313395e-06,3.0560972e-07,3.5313238e-07,0.9999957,0,none
0.9999987,1.1708338e-06,6.852361e-08,1.6285815e-08,0.9999987,0,none
0.9999583,4.1404306e-05,1.919136e-07,1.2704399e-07,0.9999583,0,none
0.99991536,8.429257e-05,2.8918814e-07,2.5888575e-08,0.99991536,0,none
0.99994326,5.4130778e-05,2.5433194e-06,3.9431164e-08,0.99994326,0,none
0.99998546,1.41202e-05,4.2295588e-07,3.24253e-08,0.99998546,0,none
0.99999285,3.0148017e-06,2.3300458e-07,3.928759e-06,0.99999285,0,none
0.9999945,1.1223998e-06,4.0829605e-06,3.2836476e-07,0.9999945,0,none
0.99997735,2.2340068e-06,1.866977e-05,1.7575152e-06,0.99997735,0,none
0.9999527,4.479957e-05,2.4119445e-06,1.5517038e-07,0.9999527,0,none
0.999977,1.2647277e-05,1.0238512e-05,6.7891825e-08,0.999977,0,none
0.9999974,2.3072398e-06,2.1445861e-07,7.542995e-08,0.9999974,0,none
0.99999535,6.4114965e-07,3.4025636e-06,6.105961e-07,0.99999535,0,none
0.99999964,4.67751e-08,2.2740203e-07,9.3391755e-08,0.99999964,0,none
0.99999833,1.2652939e-07,1.4363517e-06,1.3620682e-07,0.99999833,0,none
0.99999714,2.1623348e-06,2.3031141e-07,4.9844186e-07,0.99999714,0,none
0.99999845,2.0410053e-07,7.909468e-07,5.890623e-07,0.99999845,0,none
0.9999902,5.206084e-07,2.1748072e-06,7.0908054e-06,0.9999902,0,none
0.9999981,2.902546e-07,5.627982e-07,9.963017e-07,0.9999981,0,none
0.9999894,6.692849e-08,3.1567786e-06,7.3609135e-06,0.9999894,0,none
0.9999964,1.1080608e-08,2.407789e-06,1.1484996e-06,0.9999964,0,none
0.9999987,3.883601e-07,8.6394385e-07,1.1411713e-07,0.9999987,0,none
0.9999963,6.1409236e-07,1.6438119e-06,1.3821151e-06,0.9999963,0,none
0.99998033,8.281387e-07,4.1402554e-06,1.4727023e-05,0.99998033,0,none
0.99999344,1.2593136e-06,4.499736e-06,8.029097e-07,0.99999344,0,none
0.99999714,9.3321184e-08,1.9957404e-06,8.18097e-07,0.99999714,0,none
