prob_class_0,prob_class_1,prob_class_2,prob_class_3,max_probability,predicted_class,predicted_class_name
0.9999964,6.320107e-07,8.1428004e-07,2.0775608e-06,0.9999964,0,none
0.99999785,6.442527e-07,3.0515866e-07,1.2496705e-06,0.99999785,0,none
0.99997234,2.580992e-05,1.6959383e-06,1.963944e-07,0.99997234,0,none
0.9999907,5.1819466e-06,4.010776e-06,9.908057e-08,0.9999907,0,none
0.9999573,4.232446e-05,2.2661327e-07,1.0008735e-07,0.9999573,0,none
0.99999547,4.1461662e-06,3.5262278e-07,8.8323574e-08,0.99999547,0,none
0.99999917,4.300091e-08,4.5558414e-07,3.5579228e-07,0.99999917,0,none
0.9999982,9.828176e-08,1.0684782e-06,6.112335e-07,0.9999982,0,none
0.9999993,2.848489e-07,4.0550728e-07,1.1158902e-08,0.9999993,0,none
0.99999905,7.2250185e-07,8.4886004e-08,1.7573781e-07,0.99999905,0,none
0.99999666,3.2458338e-06,2.2872122e-08,7.280317e-08,0.99999666,0,none
0.9999993,4.0446756e-07,7.15842e-08,2.0176056e-07,0.9999993,0,none
0.99999976,1.2749811e-07,2.4008928e-08,6.542268e-08,0.99999976,0,none
0.99999976,1.3541515e-07,9.747022e-08,5.691572e-08,0.99999976,0,none
0.999998,1.5820798e-07,1.764782e-06,1.2784903e-07,0.999998,0,none
0.9999999,3.0761118e-08,1.8933491e-08,1.7618424e-08,0.9999999,0,none
0.9999988,1.104683e-06,3.6966075e-08,2.420792e-08,0.9999988,0,none
0.9999969,8.4148155e-08,2.95969e-06,5.9494738e-08,0.9999969,0,none
0.99999774,1.774411e-08,2.0544387e-06,1.5208066e-07,0.99999774,0,none
0.99999833,9.1101064e-09,1.3954577e-06,2.8893507e-07,0.99999833,0,none
0.9999995,2.701166e-09,4.0836287e-07,1.6533557e-08,0.9999995,0,none
0.99999475,3.9682632e-08,4.844758e-06,3.2303393e-07,0.99999475,0,none
0.99999976,5.746864e-09,1.4746253e-07,4.7539086e-08,0.99999976,0,none
0.99999976,1.0444943e-08,1.1235842e-07,1.2424519e-07,0.99999976,0,none
0.99999964,1.1447028e-07,1.366396e-07,1.4857046e-07,0.99999964,0,none
0.99999726,7.049173e-08,1.4442551e-06,1.1846064e-06,0.99999726,0,none
0.9999988,4.0525325e-08,1.0926151e-06,7.531376e-08,0.9999988,0,none
0.99999857,4.1218672e-07,2.4680347e-07,8.301726e-07,0.99999857,0,none
0.99999106,8.636123e-06,1.7208494e-07,9.640698e-08,0.99999106,0,none
0.9999968,8.691983e-07,2.152327e-06,1.5159948e-07,0.9999968,0,none
0.999995,4.4132612e-08,3.8409835e-06,1.1500235e-06,0.999995,0,none
0.99999607,5.618712e-08,2.7974897e-06,1.1137062e-06,0.99999607,0,none
0.99996054,6.057817e-07,1.8738918e-05,2.0057389e-05,0.99996054,0,none
0.99992704,3.2462497e-09,6.764122e-05,5.2914343e-06,0.99992704,0,none
0.99991083,3.396094e-08,7.827325e-05,1.0880796e-05,0.99991083,0,none
0.9999726,6.4651053e-09,2.0597161e-05,6.838226e-06,0.9999726,0,none
0.9999682,5.7616035e-07,1.1109918e-05,2.0187035e-05,0.9999682,0,none
0.99999535,1.9738094e-07,2.0070972e-06,2.4923547e-06,0.99999535,0,none
0.99999094,6.978538e-07,9.366406e-08,8.2487995e-06,0.99999094,0,none
0.9999913,3.145479e-08,1.847755e-06,6.855612e-06,0.9999913,0,none
0.9999976,4.136589e-08,5.020876e-07,1.8680844e-06,0.9999976,0,none
0.99999607,1.0960837e-07,9.467292e-07,2.921629e-06,0.99999607,0,none
0.9999875,6.563573e-08,1.1078583e-05,1.4287825e-06,0.9999875,0,none
0.9999982,1.0167507e-06,6.6332825e-07,1.5032097e-07,0.9999982,0,none
0.999997,2.189299e-06,7.019443e-07,4.8722775e-08,0.999997,0,none
0.9999995,1.1682711e-07,3.3246496e-07,2.5001114e-08,0.9999995,0,none
0.9999988,5.5202232e-08,5.208761e-07,5.825052e-07,0.9999988,0,none
0.999987,1.2407777e-08,1.0356795e-05,2.613511e-06,0.999987,0,none
0.999998,3.7457775e-07,5.147224e-07,1.0953393e-06,0.999998,0,none
0.99994946,6.792632e-09,1.0484821e-07,5.0487946e-05,0.99994946,0,none
0.9999963,2.461052e-08,2.4176506e-06,1.2302297e-06,0.9999963,0,none
0.99999094,5.912458e-08,8.899231e-06,8.5842025e-08,0.99999094,0,none
0.9999982,1.6111807e-07,1.4307585e-06,2.213458e-07,0.9999982,0,none
0.9999598,1.60286e-05,2.3670804e-05,4.60728e-07,0.9999598,0,none
0.99999774,1.9793947e-06,2.7025965e-07,1.5168053e-08,0.99999774,0,none
0.99999547,5.823583e-07,2.602207e-06,1.3134753e-06,0.99999547,0,none
0.99999535,3.483509e-06,1.1464105e-06,5.2838278e-08,0.99999535,0,none
0.9999999,4.2536112e-09,2.1814065e-08,1.2433198e-07,0.9999999,0,none
0.99999774,1.6810684e-08,1.8897391e-06,3.260731e-07,0.99999774,0,none
0.99999475,1.3754188e-08,2.3814225e-06,2.8259306e-06,0.99999475,0,none
0.9999962,2.4218847e-08,2.1026215e-06,1.668827e-06,0.9999962,0,none
0.9999951,5.1292204e-07,3.910821e-06,5.161144e-07,0.9999951,0,none
0.99998736,1.0925166e-05,8.064125e-07,9.0938187e-07,0.99998736,0,none
0.99995637,2.2476314e-07,2.119977e-05,2.2261305e-05,0.99995637,0,none
0.9999739,8.9789566e-08,1.5624762e-05,1.03383045e-05,0.9999739,0,none
0.9999639,1.4131742e-08,2.1131018e-07,3.5929068e-05,0.9999639,0,none
0.9999913,8.573075e-09,3.342752e-06,5.381863e-06,0.9999913,0,none
0.9999926,2.3149993e-07,6.449473e-06,6.956529e-07,0.9999926,0,none
0.99999714,1.7156472e-07,2.0711805e-06,6.6579923e-07,0.99999714,0,none
0.99998116,7.1060366e-09,1.7343853e-05,1.44733e-06,0.99998116,0,none
0.99999595,3.9261923e-07,3.4351442e-06,2.4849834e-07,0.99999595,0,none
0.9999809,1.1880145e-07,1.8717848e-05,2.919976e-07,0.9999809,0,none
0.9999914,6.7612285e-07,7.4441673e-06,4.582736e-07,0.9999914,0,none
0.99999917,1.0679062e-07,6.669954e-07,1.696736e-08,0.99999917,0,none
0.99999976,5.762508e-08,9.570538e-08,8.87429e-08,0.99999976,0,none
0.9999896,4.289945e-06,6.0168177e-06,3.7621696e-08,0.9999896,0,none
0.99999845,5.563488e-07,9.1108984e-07,4.2876717e-08,0.99999845,0,none
0.9999999,8.5592646e-08,4.061854e-08,1.9216753e-09,0.9999999,0,none
0.99998176,1.8025634e-05,1.703595e-07,2.7876847e-09,0.99998176,0,none
0.999962,3.667438e-05,1.3232858e-06,9.0102525e-10,0.999962,0,none
0.9999969,2.7750891e-06,3.2875062e-07,2.1008548e-08,0.9999969,0,none
0.9999864,5.9004174e-06,7.377597e-06,3.6152605e-07,0.9999864,0,none
0.9999888,9.75964e-06,5.2178467e-07,9.064911e-07,0.9999888,0,none
0.99997854,7.503018e-07,2.036998e-05,3.5613084e-07,0.99997854,0,none
