Description	Count	contig
CDS	26	STAU002.0321.00050.C001.PICI.TypeB.variant0002.Set1
connector	0	STAU002.0321.00050.C001.PICI.TypeB.variant0002.Set1
DNA, RNA and nucleotide metabolism	3	STAU002.0321.00050.C001.PICI.TypeB.variant0002.Set1
head and packaging	2	STAU002.0321.00050.C001.PICI.TypeB.variant0002.Set1
integration and excision	1	STAU002.0321.00050.C001.PICI.TypeB.variant0002.Set1
lysis	0	STAU002.0321.00050.C001.PICI.TypeB.variant0002.Set1
moron, auxiliary metabolic gene and host takeover	0	STAU002.0321.00050.C001.PICI.TypeB.variant0002.Set1
other	0	STAU002.0321.00050.C001.PICI.TypeB.variant0002.Set1
tail	0	STAU002.0321.00050.C001.PICI.TypeB.variant0002.Set1
transcription regulation	1	STAU002.0321.00050.C001.PICI.TypeB.variant0002.Set1
unknown function	19	STAU002.0321.00050.C001.PICI.TypeB.variant0002.Set1
tRNAs	0	STAU002.0321.00050.C001.PICI.TypeB.variant0002.Set1
CRISPRs	0	STAU002.0321.00050.C001.PICI.TypeB.variant0002.Set1
tmRNAs	0	STAU002.0321.00050.C001.PICI.TypeB.variant0002.Set1
VFDB_Virulence_Factors	0	STAU002.0321.00050.C001.PICI.TypeB.variant0002.Set1
CARD_AMR_Genes	0	STAU002.0321.00050.C001.PICI.TypeB.variant0002.Set1
CDS	11	POSP014.0321.00001.C001.PICI.TypeB.variant0001.Set1
connector	0	POSP014.0321.00001.C001.PICI.TypeB.variant0001.Set1
DNA, RNA and nucleotide metabolism	3	POSP014.0321.00001.C001.PICI.TypeB.variant0001.Set1
head and packaging	2	POSP014.0321.00001.C001.PICI.TypeB.variant0001.Set1
integration and excision	1	POSP014.0321.00001.C001.PICI.TypeB.variant0001.Set1
lysis	0	POSP014.0321.00001.C001.PICI.TypeB.variant0001.Set1
moron, auxiliary metabolic gene and host takeover	0	POSP014.0321.00001.C001.PICI.TypeB.variant0001.Set1
other	0	POSP014.0321.00001.C001.PICI.TypeB.variant0001.Set1
tail	0	POSP014.0321.00001.C001.PICI.TypeB.variant0001.Set1
transcription regulation	0	POSP014.0321.00001.C001.PICI.TypeB.variant0001.Set1
unknown function	5	POSP014.0321.00001.C001.PICI.TypeB.variant0001.Set1
