Function,Count
site-specific integrase  (translation),984
tyrosine-type recombinase/integrase  (translation),247
integrase family protein  (translation),13
integrase arm-type DNA-binding domain-containing protein  (translation),13
phage integrase Arm DNA-binding domain-containing protein  (translation),3
Integrase tyrosine-type recombinase/integrase  (translation),2
Integrase site-specific integrase  (translation),2
DDE-type integrase/transposase/recombinase  (translation),1
phage integrase  (translation),1
4.4 phage-related function site-specific integrase  (translation),1
integrase  (translation),1
tyrosine-type recombinase/integrase family protein  (translation),1
