contig	Accession	mash_distance	mash_pval	mash_matching_hashes	Description	Classification	Genome_Length_(bp)	Jumbophage	molGC_(%)	Molecule	Modification_Date	Number_CDS	Positive_Strand_(%)	Negative_Strand_(%)	Coding_Capacity_(%)	Low_Coding_Capacity_Warning	tRNAs	Host	Lowest_Taxa	Genus	Sub-family	Family	Order	Class	Phylum	Kingdom	Realm	Baltimore_Group	Genbank_Division	Isolation_Host_(beware_inconsistent_and_nonsense_values)
STAU002.0321.00050.C001.PICI.TypeB.variant0002.Set1	AY954948	0.0778587	0.0	108/1000	Staphylococcus phage PT1028	Staphylococcus phage PT1028 Viruses	15603.0	False	31.417	DNA	15-APR-2005	23.0	86.9565217391304	13.0434782608696	80.6191117092867		0.0	Staphylococcus	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	PHG	Staphylococcus aureus
POSP014.0321.00001.C001.PICI.TypeB.variant0001.Set1	no_inphared_mash_hit	no_inphared_mash_hit	no_inphared_mash_hit	no_inphared_mash_hit																										
STAU002.0321.00250.C001.PICI.TypeB.variant0002.Set1	AY954948	0.0723061	0.0	123/1000	Staphylococcus phage PT1028	Staphylococcus phage PT1028 Viruses	15603.0	False	31.417	DNA	15-APR-2005	23.0	86.9565217391304	13.0434782608696	80.6191117092867		0.0	Staphylococcus	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	PHG	Staphylococcus aureus
STAU002.0321.00374.C001.PICI.TypeB.variant0002.Set1	AY954948	0.0909306	0.0	80/1000	Staphylococcus phage PT1028	Staphylococcus phage PT1028 Viruses	15603.0	False	31.417	DNA	15-APR-2005	23.0	86.9565217391304	13.0434782608696	80.6191117092867		0.0	Staphylococcus	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	PHG	Staphylococcus aureus
MYTU002.0321.00238.C001.PICI.TypeB.variant0004.Set1	no_inphared_mash_hit	no_inphared_mash_hit	no_inphared_mash_hit	no_inphared_mash_hit																										
ESCO001.0321.00096.C001.PICI.TypeA.Set1	no_inphared_mash_hit	no_inphared_mash_hit	no_inphared_mash_hit	no_inphared_mash_hit																										
STAU002.0321.00132.C001.PICI.TypeB.variant0002.Set1	AY954948	0.0422904	0.0	259/1000	Staphylococcus phage PT1028	Staphylococcus phage PT1028 Viruses	15603.0	False	31.417	DNA	15-APR-2005	23.0	86.9565217391304	13.0434782608696	80.6191117092867		0.0	Staphylococcus	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	PHG	Staphylococcus aureus
ESCO001.0321.00611.C001.PICI.TypeA.Set1	no_inphared_mash_hit	no_inphared_mash_hit	no_inphared_mash_hit	no_inphared_mash_hit																										
ESCO001.0321.00651.C001.PICI.TypeA.Set1	no_inphared_mash_hit	no_inphared_mash_hit	no_inphared_mash_hit	no_inphared_mash_hit																										
HECO001.0321.00001.C001.PICI.TypeB.variant0001.Set1	no_inphared_mash_hit	no_inphared_mash_hit	no_inphared_mash_hit	no_inphared_mash_hit																										
