PICI_ID_allsets,All_Functions
ACIN004.0321.00004.C001.PICI.TypeB.variant0003,"['tyrosine-type recombinase/integrase  (translation)', 'hypothetical protein  (translation)', 'AlpA family phage regulatory protein  (translation)', 'DNA-binding protein  (translation)', 'hypothetical protein  (translation)', 'hypothetical protein  (translation)', 'hypothetical protein  (translation)', 'DUF3987 domain-containing protein  (translation)', 'hypothetical protein  (translation)', 'phage major capsid protein  (translation)', 'terminase small subunit  (translation)']"
ACSP027.0321.00001.C001.PICI.TypeB.variant0001,"['tyrosine-type recombinase/integrase  (translation)', 'AlpA family phage regulatory protein  (translation)', 'hypothetical protein  (translation)', 'hypothetical protein  (translation)', 'hypothetical protein  (translation)', 'hypothetical protein  (translation)', 'AAA family ATPase  (translation)', 'hypothetical protein  (translation)', 'hypothetical protein  (translation)', 'hypothetical protein  (translation)', 'serine/threonine-protein kinase  (translation)', 'terminase  (translation)', 'hypothetical protein  (translation)', 'phage portal protein  (translation)', 'Clp protease ClpP  (translation)', 'head decoration protein  (translation)', 'major capsid protein  (translation)']"
ALEH001.0321.00001.C001.PICI.TypeB.variant0001,"['integrase family protein  (translation)', 'hypothetical protein  (translation)', 'AlpA family phage regulatory protein  (translation)', 'hypothetical protein  (translation)', 'AAA family ATPase  (translation)', 'hypothetical protein  (translation)', 'hypothetical protein  (translation)', 'hypothetical protein  (translation)', 'hypothetical protein  (translation)', 'phage major capsid protein  (translation)']"
ARNA001.0321.00001.C001.PICI.TypeB.variant0001,"['tyrosine-type recombinase/integrase  (translation)', 'hypothetical protein  (translation)', 'AlpA family transcriptional regulator  (translation)', 'hypothetical protein  (translation)', 'hypothetical protein  (translation)', 'hypothetical protein  (translation)', 'hypothetical protein  (translation)', 'hypothetical protein  (translation)', 'hypothetical protein  (translation)', 'AAA family ATPase  (translation)', 'hypothetical protein  (translation)', 'IS3 family transposase  (translation)', 'hypothetical protein  (translation)', 'phage major capsid protein  (translation)']"
BUCO001.0321.00001.C002.PICI.TypeB.variant0001,"['tyrosine-type recombinase/integrase  (translation)', 'hypothetical protein  (translation)', 'AlpA family phage regulatory protein  (translation)', 'helix-turn-helix domain-containing protein  (translation)', 'hypothetical protein  (translation)', 'hypothetical protein  (translation)', 'hypothetical protein  (translation)', 'AAA family ATPase  (translation)', 'hypothetical protein  (translation)', 'hypothetical protein  (translation)', 'phage major capsid protein  (translation)', 'helix-turn-helix transcriptional regulator  (translation)']"
BUDI001.0321.00001.C002.PICI.TypeB.variant0001,"['site-specific integrase  (translation)', 'hypothetical protein  (translation)', 'hypothetical protein  (translation)', 'hypothetical protein  (translation)', 'AlpA family phage regulatory protein  (translation)', 'ParB N-terminal domain-containing protein  (translation)', 'hypothetical protein  (translation)', 'Cro/Cl family transcriptional regulator  (translation)', 'hypothetical protein  (translation)', 'hypothetical protein  (translation)', 'replicative DNA helicase  (translation)', 'helix-turn-helix domain-containing protein  (translation)', 'hypothetical protein  (translation)', 'hypothetical protein  (translation)', 'MarR family transcriptional regulator  (translation)', 'phage terminase large subunit family protein  (translation)', 'hypothetical protein  (translation)', 'phage portal protein  (translation)', 'Clp protease ClpP  (translation)', 'head decoration protein  (translation)', 'major capsid protein  (translation)']"
BULA001.0321.00002.C001.PICI.TypeB.variant0002,"['integrase arm-type DNA-binding domain-containing protein  (translation)', 'phage terminase small subunit P27 family  (translation)', 'hypothetical protein  (translation)', 'hypothetical protein  (translation)', 'hypothetical protein  (translation)', 'single-stranded DNA-binding protein  (translation)', 'AAA family ATPase  (translation)', 'helix-turn-helix domain-containing protein  (translation)', 'AlpA family phage regulatory protein  (translation)']"
BUTH001.0321.00004.C001.PICI.TypeB.variant0002,"['integrase arm-type DNA-binding domain-containing protein  (translation)', 'phage terminase small subunit P27 family  (translation)', 'hypothetical protein  (translation)', 'hypothetical protein  (translation)', 'hypothetical protein  (translation)', 'single-stranded DNA-binding protein  (translation)', 'hypothetical protein  (translation)', 'AAA family ATPase  (translation)', 'toprim domain-containing protein  (translation)', 'hypothetical protein  (translation)', 'AlpA family phage regulatory protein  (translation)']"
BUTH001.0321.00008.C001.PICI.TypeB.variant0002,"['integrase arm-type DNA-binding domain-containing protein  (translation)', 'phage terminase small subunit P27 family  (translation)', 'hypothetical protein  (translation)', 'hypothetical protein  (translation)', 'hypothetical protein  (translation)', 'single-stranded DNA-binding protein  (translation)', 'hypothetical protein  (translation)', 'AAA family ATPase  (translation)', 'toprim domain-containing protein  (translation)', 'hypothetical protein  (translation)', 'AlpA family phage regulatory protein  (translation)']"
BUTH001.0321.00019.C001.PICI.TypeB.variant0002,"['integrase arm-type DNA-binding domain-containing protein  (translation)', 'phage terminase small subunit P27 family  (translation)', 'hypothetical protein  (translation)', 'hypothetical protein  (translation)', 'hypothetical protein  (translation)', 'single-stranded DNA-binding protein  (translation)', 'hypothetical protein  (translation)', 'AAA family ATPase  (translation)', 'toprim domain-containing protein  (translation)', 'hypothetical protein  (translation)', 'AlpA family phage regulatory protein  (translation)']"
