pici_id,ABC transporter,Alt-like transcription activator,Arc-like repressor,CII-like regulator,CII-like transcriptional activator,DNA binding protein,DNA helicase,DNA invertase,DNA methyltransferase,DNA polymerase,DNA polymerase processivity factor,DNA polymerase/primase,DNA primase,DNA primase/helicase,DNA topoisomerase,DNA transposition protein,DnaB-like replicative helicase,DnaC-like helicase loader,DnaD-like helicase loader,ERCC4-type nuclease,FabG-like 3-oxoacyl-(acyl-carrier-protein) reductase,Gp2.5-like ssDNA binding protein and ssDNA annealing protein,HNH endonuclease,HTH DNA binding protein,Holliday junction resolvase,MazG-like pyrophosphatase,Mu Gam-like end protection,MutT/NUDIX hydrolase,ParB-like partition nuclease,ParB-like partition protein,QueC-like queuosine biosynthesis,RNA polymerase sigma factor,RecT-like ssDNA annealing protein,RelE-like toxin,Rha-like transcriptional regulator,RusA-like Holliday junction resolvase,Sak4-like ssDNA annealing protein,UvsX-like recombinase,WhiB transcriptional factor,abortive infection resistance protein,anti-repressor,anti-repressor Ant,anti-termination protein Q-like,beta-lactamase-inhibitor protein BLIP,dATP / dGTP pyrophosphohydrolase,deoxyribonucleoside 5' monophosphate phosphatase,endonuclease,enterotoxin type A / speL,esterase/lipase,excisionase,excisionase and transcriptional regulator,exonuclease,head closure Hc1,head decoration,head maturation protease,head morphogenesis,head scaffolding protein,head-tail adaptor,head-tail adaptor Ad1,host nuclease inhibitor,hypothetical protein,integrase,lipoprotein,major head protein,major tail protein,membrane protein,metallo-protease,minor head protein,minor tail protein,nucleoside 2-deoxyribosyltransferase,nucleotide kinase,partition protein ATPase,peptidase,polarity suppression Psu-like by overcoming Rho,portal protein,pyrophosphatase,radical SAM domain-containing protein,released from the phage upon host infection,replication initiation O-like,replication initiation protein,replication protein,replication terminator,restriction endonuclease,serine-threonine kinase,sigma factor,single strand DNA binding protein,spore coat protein,superinfection exclusion,tail assembly chaperone,tail completion or Neck1 protein,tail length tape measure protein,tail terminator,terminase large subunit,terminase small subunit,toxin,toxin-antitoxin system HicB-like,transcription antiterminator,transcriptional activator,transcriptional regulator,transcriptional regulator WhiB-like,transcriptional repressor,transposase,universal stress protein,unknown function
ACER001.0321.00001.C001.PICI.TypeB.variant0001.Set1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACIN001.0321.00001.C001.PICI.TypeB.variant0002.Set1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0
ACIN004.0321.00004.C001.PICI.TypeB.variant0003.Set1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ACJE001.0321.00004.C001.PICI.TypeB.variant0001.Set1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ACSP027.0321.00001.C001.PICI.TypeB.variant0001.Set1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,18,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ALDE001.0321.00004.C001.PICI.TypeB.variant0002.Set1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
ALEH001.0321.00001.C001.PICI.TypeB.variant0001.Set1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ALSP012.0321.00001.C001.PICI.TypeB.variant0001.Set1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AMBU001.0321.00001.C001.PICI.TypeB.variant0002.Set1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
ANCE001.0321.00001.C001.PICI.TypeB.variant0002.Set2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0
