gene_id	function	pici_id
WLQYMNQG_CDS_0001	integrase	STAU002.0321.00050.C001.PICI.TypeB.variant0002.Set1
WLQYMNQG_CDS_0002	hypothetical protein	STAU002.0321.00050.C001.PICI.TypeB.variant0002.Set1
WLQYMNQG_CDS_0003	transcriptional repressor	STAU002.0321.00050.C001.PICI.TypeB.variant0002.Set1
WLQYMNQG_CDS_0004	hypothetical protein	STAU002.0321.00050.C001.PICI.TypeB.variant0002.Set1
WLQYMNQG_CDS_0005	hypothetical protein	STAU002.0321.00050.C001.PICI.TypeB.variant0002.Set1
WLQYMNQG_CDS_0006	DNA binding protein	STAU002.0321.00050.C001.PICI.TypeB.variant0002.Set1
WLQYMNQG_CDS_0007	hypothetical protein	STAU002.0321.00050.C001.PICI.TypeB.variant0002.Set1
WLQYMNQG_CDS_0008	hypothetical protein	STAU002.0321.00050.C001.PICI.TypeB.variant0002.Set1
WLQYMNQG_CDS_0009	hypothetical protein	STAU002.0321.00050.C001.PICI.TypeB.variant0002.Set1
WLQYMNQG_CDS_0010	DNA polymerase/primase	STAU002.0321.00050.C001.PICI.TypeB.variant0002.Set1
WLQYMNQG_CDS_0011	DNA helicase	STAU002.0321.00050.C001.PICI.TypeB.variant0002.Set1
WLQYMNQG_CDS_0012	hypothetical protein	STAU002.0321.00050.C001.PICI.TypeB.variant0002.Set1
WLQYMNQG_CDS_0013	hypothetical protein	STAU002.0321.00050.C001.PICI.TypeB.variant0002.Set1
WLQYMNQG_CDS_0014	hypothetical protein	STAU002.0321.00050.C001.PICI.TypeB.variant0002.Set1
WLQYMNQG_CDS_0015	hypothetical protein	STAU002.0321.00050.C001.PICI.TypeB.variant0002.Set1
WLQYMNQG_CDS_0016	hypothetical protein	STAU002.0321.00050.C001.PICI.TypeB.variant0002.Set1
WLQYMNQG_CDS_0017	hypothetical protein	STAU002.0321.00050.C001.PICI.TypeB.variant0002.Set1
WLQYMNQG_CDS_0018	hypothetical protein	STAU002.0321.00050.C001.PICI.TypeB.variant0002.Set1
WLQYMNQG_CDS_0019	hypothetical protein	STAU002.0321.00050.C001.PICI.TypeB.variant0002.Set1
WLQYMNQG_CDS_0020	hypothetical protein	STAU002.0321.00050.C001.PICI.TypeB.variant0002.Set1
WLQYMNQG_CDS_0021	hypothetical protein	STAU002.0321.00050.C001.PICI.TypeB.variant0002.Set1
WLQYMNQG_CDS_0022	hypothetical protein	STAU002.0321.00050.C001.PICI.TypeB.variant0002.Set1
WLQYMNQG_CDS_0023	hypothetical protein	STAU002.0321.00050.C001.PICI.TypeB.variant0002.Set1
WLQYMNQG_CDS_0024	spore coat protein	STAU002.0321.00050.C001.PICI.TypeB.variant0002.Set1
WLQYMNQG_CDS_0025	hypothetical protein	STAU002.0321.00050.C001.PICI.TypeB.variant0002.Set1
WLQYMNQG_CDS_0026	terminase small subunit	STAU002.0321.00050.C001.PICI.TypeB.variant0002.Set1
WLQYMNQG_CDS_0027	integrase	POSP014.0321.00001.C001.PICI.TypeB.variant0001.Set1
WLQYMNQG_CDS_0028	hypothetical protein	POSP014.0321.00001.C001.PICI.TypeB.variant0001.Set1
WLQYMNQG_CDS_0029	DNA binding protein	POSP014.0321.00001.C001.PICI.TypeB.variant0001.Set1
WLQYMNQG_CDS_0030	hypothetical protein	POSP014.0321.00001.C001.PICI.TypeB.variant0001.Set1
WLQYMNQG_CDS_0031	DNA primase	POSP014.0321.00001.C001.PICI.TypeB.variant0001.Set1
WLQYMNQG_CDS_0032	DNA polymerase/primase	POSP014.0321.00001.C001.PICI.TypeB.variant0001.Set1
WLQYMNQG_CDS_0033	hypothetical protein	POSP014.0321.00001.C001.PICI.TypeB.variant0001.Set1
WLQYMNQG_CDS_0034	terminase small subunit	POSP014.0321.00001.C001.PICI.TypeB.variant0001.Set1
WLQYMNQG_CDS_0035	hypothetical protein	POSP014.0321.00001.C001.PICI.TypeB.variant0001.Set1
WLQYMNQG_CDS_0036	hypothetical protein	POSP014.0321.00001.C001.PICI.TypeB.variant0001.Set1
WLQYMNQG_CDS_0037	major head protein	POSP014.0321.00001.C001.PICI.TypeB.variant0001.Set1
WLQYMNQG_CDS_0038	integrase	STAU002.0321.00250.C001.PICI.TypeB.variant0002.Set1
WLQYMNQG_CDS_0039	hypothetical protein	STAU002.0321.00250.C001.PICI.TypeB.variant0002.Set1
WLQYMNQG_CDS_0040	transcriptional repressor	STAU002.0321.00250.C001.PICI.TypeB.variant0002.Set1
WLQYMNQG_CDS_0041	hypothetical protein	STAU002.0321.00250.C001.PICI.TypeB.variant0002.Set1
