id,contig,start,end,strand,function_num
WP_001290433.1,NC_002745.2,517,1878,+,11
WP_000969811.1,NC_002745.2,2156,3289,+,11
WP_001789359.1,NC_002745.2,3670,3915,+,11
WP_000775113.1,NC_002745.2,3912,5024,+,11
WP_000255578.1,NC_002745.2,5034,6968,+,11
WP_000819096.1,NC_002745.2,7005,9674,+,11
WP_000449218.1,NC_002745.2,9762,10574,-,11
WP_000177465.1,NC_002745.2,10900,12414,+,11
WP_000884332.1,NC_002745.2,12793,14079,+,11
WP_000190726.1,NC_002745.2,14730,15425,+,8
WP_000628051.1,NC_002745.2,15422,15751,+,11
WP_000186490.1,NC_002745.2,16114,17082,+,11
WP_001800884.1,NC_002745.2,17375,18313,+,8
WP_001081640.1,NC_002745.2,18328,20295,+,11
WP_000864305.1,NC_002745.2,20292,20738,+,11
WP_000375647.1,NC_002745.2,20770,22170,+,11
WP_000095328.1,NC_002745.2,22448,23731,+,11
WP_000101976.1,NC_002745.2,24934,25635,+,11
WP_000871607.1,NC_002745.2,25648,27474,+,11
WP_001060140.1,NC_002745.2,27467,28801,+,11
WP_001104165.1,NC_002745.2,28802,29590,+,11
WP_000088649.1,NC_002745.2,29979,30779,+,11
WP_000645787.1,NC_002745.2,31006,33324,+,11
WP_000704775.1,NC_002745.2,33692,34171,+,11
WP_000566670.1,NC_002745.2,34493,35749,+,11
WP_001282728.1,NC_002745.2,36164,36403,+,7
WP_001106057.1,NC_002745.2,36435,37109,-,10
WP_000119405.1,NC_002745.2,38428,39690,-,11
WP_001242578.1,NC_002745.2,40197,40601,-,11
WP_001014230.1,NC_002745.2,40818,41579,-,11
WP_001106057.1,NC_002745.2,41781,42455,-,10
WP_020444595.1,NC_002745.2,42491,42880,+,6
WP_000958858.1,NC_002745.2,43717,44460,+,11
WP_000872606.1,NC_002745.2,44557,44985,+,11
WP_001801873.1,NC_002745.2,45031,47040,-,11
WP_000952923.1,NC_002745.2,47137,48894,+,11
WP_000369214.1,NC_002745.2,48894,49265,+,11
WP_014532405.1,NC_002745.2,49350,49418,-,9
WP_010922808.1,NC_002745.2,49752,50882,+,9
WP_000438836.1,NC_002745.2,52363,53427,-,11
WP_000220507.1,NC_002745.2,53563,53823,+,9
WP_001092058.1,NC_002745.2,54806,55468,-,6
WP_010959190.1,NC_002745.2,55860,55919,+,9
WP_001072201.1,NC_002745.2,56002,56733,+,11
WP_000067268.1,NC_002745.2,56859,57641,-,11
WP_000361059.1,NC_002745.2,57792,58169,-,7
WP_001557544.1,NC_002745.2,58176,60068,-,4
WP_000868132.1,NC_002745.2,60065,61150,-,10
WP_000659050.1,NC_002745.2,61269,61586,-,9
WP_001092169.1,NC_002745.2,61607,62113,-,11
WP_000700853.1,NC_002745.2,62131,62442,-,11
WP_000859155.1,NC_002745.2,62529,62879,-,9
WP_001186602.1,NC_002745.2,63397,65025,-,4
WP_000815646.1,NC_002745.2,65047,66396,-,10
WP_000195100.1,NC_002745.2,66630,68423,-,11
WP_000273824.1,NC_002745.2,68423,68719,-,11
WP_001060127.1,NC_002745.2,68912,69958,-,9
WP_000858967.1,NC_002745.2,73509,74204,-,11
WP_000631574.1,NC_002745.2,77015,77095,+,9
WP_000029430.1,NC_002745.2,77116,78792,+,8
WP_000852430.1,NC_002745.2,78811,80832,+,6
WP_000626133.1,NC_002745.2,81950,82819,-,11
WP_000411461.1,NC_002745.2,82829,83725,-,11
WP_001176969.1,NC_002745.2,84844,85470,-,11
WP_001001347.1,NC_002745.2,85585,87093,+,4
WP_001790628.1,NC_002745.2,87343,87477,-,9
WP_001790000.1,NC_002745.2,87441,87533,+,7
WP_000700190.1,NC_002745.2,87680,89425,+,11
WP_000355845.1,NC_002745.2,90369,91124,-,8
WP_001105088.1,NC_002745.2,91124,91384,-,11
WP_000816133.1,NC_002745.2,91521,92585,+,11
WP_000465472.1,NC_002745.2,92616,93950,+,11
WP_001033018.1,NC_002745.2,93969,95162,+,11
WP_000662022.1,NC_002745.2,95829,96815,-,11
WP_000389759.1,NC_002745.2,97124,97327,+,9
WP_000201644.1,NC_002745.2,97376,97672,+,11
WP_000908956.1,NC_002745.2,97880,98482,+,8
WP_000080564.1,NC_002745.2,98749,101901,+,4
WP_000410567.1,NC_002745.2,101958,102440,+,1
WP_000710555.1,NC_002745.2,102646,103632,+,11
WP_000977777.1,NC_002745.2,103853,104623,+,11
WP_000597207.1,NC_002745.2,104675,105445,+,4
WP_031790901.1,NC_002745.2,105510,106280,+,11
WP_000977803.1,NC_002745.2,106345,107115,+,4
WP_075339405.1,NC_002745.2,107179,107949,+,11
WP_001188472.1,NC_002745.2,108046,110283,+,4
WP_001075809.1,NC_002745.2,110434,111612,+,11
WP_001006441.1,NC_002745.2,111614,113002,+,8
WP_001800966.1,NC_002745.2,113486,115147,-,11
WP_000291840.1,NC_002745.2,115472,117247,-,11
WP_001038103.1,NC_002745.2,117421,118293,-,9
WP_078072290.1,NC_002745.2,118424,119803,+,11
WP_000036330.1,NC_002745.2,119993,120466,+,9
WP_000173891.1,NC_002745.2,120728,122320,+,11
WP_000728765.1,NC_002745.2,122649,124001,-,11
WP_000876756.1,NC_002745.2,124422,125174,-,11
WP_000136633.1,NC_002745.2,125543,126541,-,8
WP_000924990.1,NC_002745.2,126538,127533,-,8
WP_001045111.1,NC_002745.2,127549,128541,-,11
WP_000570807.1,NC_002745.2,128772,129752,+,11
WP_001078461.1,NC_002745.2,129749,130759,+,11
WP_001179385.1,NC_002745.2,130780,132534,+,11
WP_000610051.1,NC_002745.2,132527,133783,+,11
WP_001179886.1,NC_002745.2,133773,135509,+,11
WP_001795344.1,NC_002745.2,135418,137268,+,11
WP_001186804.1,NC_002745.2,137243,138019,+,11
WP_001223713.1,NC_002745.2,138019,139221,+,4
WP_001015549.1,NC_002745.2,139225,139989,+,11
WP_000414629.1,NC_002745.2,140185,140811,+,11
WP_000183771.1,NC_002745.2,141023,141799,+,11
WP_001789407.1,NC_002745.2,141943,142065,+,9
WP_001793242.1,NC_002745.2,142135,143115,+,4
WP_000736082.1,NC_002745.2,143078,143770,+,11
WP_000692504.1,NC_002745.2,143980,145146,+,11
WP_000431230.1,NC_002745.2,145127,146365,+,8
WP_000834089.1,NC_002745.2,146355,147785,+,8
WP_000874681.1,NC_002745.2,148053,148652,+,11
WP_223181133.1,NC_002745.2,149607,149744,+,9
WP_001795345.1,NC_002745.2,149935,150690,-,11
WP_000843292.1,NC_002745.2,150926,151633,+,6
WP_001100299.1,NC_002745.2,151640,152992,+,8
WP_000667269.1,NC_002745.2,153073,153735,+,11
WP_000197806.1,NC_002745.2,153763,154941,+,11
WP_000191092.1,NC_002745.2,155070,155885,-,11
WP_001127689.1,NC_002745.2,155882,156682,-,11
WP_000078092.1,NC_002745.2,156684,157457,-,8
WP_000787777.1,NC_002745.2,157652,158608,-,11
WP_000725608.1,NC_002745.2,158837,160381,+,11
WP_000065030.1,NC_002745.2,160432,161967,+,11
WP_000447776.1,NC_002745.2,162124,162891,+,11
WP_000469833.1,NC_002745.2,162897,164072,+,9
WP_000955781.1,NC_002745.2,164457,167066,+,4
WP_000446299.1,NC_002745.2,167409,168077,+,11
WP_000037322.1,NC_002745.2,168093,168779,+,11
WP_000565304.1,NC_002745.2,168782,169546,+,11
WP_000940790.1,NC_002745.2,169566,171389,+,11
WP_000459062.1,NC_002745.2,171379,172407,+,11
WP_001028283.1,NC_002745.2,172420,173529,+,11
WP_000413171.1,NC_002745.2,173533,174657,+,11
WP_001216898.1,NC_002745.2,174660,175286,+,11
WP_001221646.1,NC_002745.2,175291,176400,+,11
WP_000668175.1,NC_002745.2,176414,177580,+,6
WP_000239647.1,NC_002745.2,177573,178778,+,8
WP_001291020.1,NC_002745.2,178779,179984,+,4
WP_000825098.1,NC_002745.2,179995,180552,+,11
WP_001230679.1,NC_002745.2,180552,181439,+,4
WP_000779504.1,NC_002745.2,181493,182755,+,11
WP_000723436.1,NC_002745.2,182832,183977,+,11
WP_000480603.1,NC_002745.2,184042,184368,-,3
WP_001237004.1,NC_002745.2,184375,184758,-,8
WP_000290397.1,NC_002745.2,185185,186672,+,11
WP_001013485.1,NC_002745.2,187319,188278,+,9
WP_000356963.1,NC_002745.2,188573,188776,-,9
WP_000171919.1,NC_002745.2,188955,189467,+,11
WP_000590854.1,NC_002745.2,189809,190549,+,11
WP_000826669.1,NC_002745.2,190563,191534,+,11
WP_000197961.1,NC_002745.2,191531,192292,+,8
WP_000171645.1,NC_002745.2,192305,193336,+,11
WP_001092004.1,NC_002745.2,193553,193912,+,11
WP_000706135.1,NC_002745.2,194086,195111,+,11
