id,function,function_num
WP_000002304.1 MULTISPECIES: alpha-D-ribose 1-methylphosphonate 5-phosphate C-P-lyase PhnJ [Enterobacteriaceae],no_hit,11
WP_000002542.1 MULTISPECIES: signal peptidase I [Enterobacteriaceae],no_hit,11
WP_000002701.1 hypothetical protein [Escherichia coli],transcription_regulation,7
WP_000002907.1 MULTISPECIES: diacylglycerol kinase [Enterobacteriaceae],lysis,1
WP_000002953.1 MULTISPECIES: ribonuclease E inhibitor RraB [Enterobacteriaceae],no_hit,11
WP_000003075.1 lysine--tRNA ligase [Escherichia coli],no_hit,11
WP_000003150.1 MULTISPECIES: VWA domain-containing protein [Enterobacteriaceae],no_hit,11
WP_000003314.1 bifunctional tRNA (adenosine(37)-C2)-methyltransferase TrmG/ribosomal RNA large subunit methyltransferase RlmN [Escherichia coli],dna_rna_and_nucleotide_metabolism,4
WP_000003377.1 MULTISPECIES: protein-export chaperone SecB [Enterobacteriaceae],no_hit,11
WP_000003653.1 hydrogenase 1 maturation protease [Escherichia coli],no_hit,11
WP_000003742.1 MULTISPECIES: excisionase [Enterobacteriaceae],integration_and_excision,10
"WP_000003820.1 MULTISPECIES: pyruvate dehydrogenase (acetyl-transferring), homodimeric type [Bacteria]",dna_rna_and_nucleotide_metabolism,4
WP_000004024.1 MULTISPECIES: taurine dioxygenase [Enterobacteriaceae],no_hit,11
WP_000004459.1 MULTISPECIES: methionyl-tRNA formyltransferase [Enterobacteriaceae],no_hit,11
WP_000004488.1 MULTISPECIES: lipid asymmetry maintenance protein MlaB [Pseudomonadota],connector,3
WP_000004620.1 lysophospholipid transporter LplT [Escherichia coli],moron_auxiliary_metabolic_gene_and_host_takeover,8
WP_000004655.1 MULTISPECIES: FKBP-type peptidyl-prolyl cis-trans isomerase [Enterobacteriaceae],tail,2
WP_000004771.1 MULTISPECIES: elongation factor P--(R)-beta-lysine ligase [Enterobacteriaceae],dna_rna_and_nucleotide_metabolism,4
WP_000004940.1 hydrogenase expression/formation protein [Escherichia coli],unknown_function,9
WP_000005042.1 MULTISPECIES: DNA gyrase inhibitor YacG [Gammaproteobacteria],transcription_regulation,7
WP_000005394.1 phage tail sheath family protein [Escherichia coli],tail,2
WP_000005552.1 MULTISPECIES: excisionase family protein [Enterobacteriaceae],integration_and_excision,10
WP_000005995.1 DUF905 family protein [Escherichia coli],no_hit,11
WP_000006621.1 MULTISPECIES: UDP-N-acetyl-D-mannosamine dehydrogenase [Enterobacteriaceae],no_hit,11
