id,lysis,tail,connector,dna_rna_and_nucleotide_metabolism,head_and_packaging,other,transcription_regulation,moron_auxiliary_metabolic_gene_and_host_takeover,unknown_function,integration_and_excision
WP_000002071.1,0.00024824668,7.032264e-05,9.839753e-07,0.9149174,0.00032603333,6.0960407e-05,6.865079e-10,0.037136395,0.0011761116,1.1137487e-05
WP_000002683.1,0.00020397177,0.00011540032,7.789352e-07,0.8509655,0.00046411084,0.00015954822,8.1147694e-10,0.059314776,0.0014358849,2.7642325e-05
WP_000002973.1,0.000374318,6.4195156e-05,5.516704e-07,0.8951899,0.00019036577,0.00012856747,5.6432803e-10,0.052306306,0.0018724032,1.3380973e-05
WP_000003566.1,0.000513185,5.8507565e-05,4.833546e-07,0.92248183,0.00029194567,5.9171514e-05,4.1467302e-10,0.035833426,0.0007152638,3.1635365e-05
WP_000003759.1,0.00060127175,6.518369e-05,6.4424006e-07,0.84248865,0.0004988401,9.7417964e-05,7.4024903e-10,0.029702563,0.0027129205,2.7809405e-05
WP_000003870.1,0.00029053012,5.2236177e-05,3.297922e-07,0.93876594,0.00039566515,0.00011987054,5.2264437e-10,0.037237454,0.0019136255,2.413274e-05
WP_000004085.1,0.0010428827,8.2006474e-05,2.7369197e-07,0.8933952,0.000479247,8.102518e-05,7.37446e-10,0.042431176,0.0015555301,5.3535776e-05
WP_000004335.1,0.00016144909,0.00012501678,4.6394163e-07,0.8932866,0.000102347076,0.00015279237,3.875165e-10,0.06129458,0.00072607363,2.0460084e-05
WP_000004981.1,0.00077441445,7.273119e-05,6.3597895e-07,0.80846006,0.00050022715,7.760365e-05,6.340858e-10,0.039458413,0.001962148,1.3979079e-05
WP_000005212.1,0.0007594965,6.5307635e-05,6.693826e-07,0.81670636,0.0006066288,8.212104e-05,6.320126e-10,0.03573996,0.0019981023,1.520439e-05
WP_000005886.1,0.00037591904,9.836271e-05,8.0781757e-07,0.84468526,0.00027268444,8.014003e-05,6.2664474e-10,0.04509841,0.0018046665,1.38401165e-05
WP_000006110.1,0.0006833382,6.420054e-05,4.2421738e-07,0.9045594,0.0006268651,0.000105545245,6.7527317e-10,0.032469407,0.0015546839,4.585062e-05
WP_000006551.1,0.0008312299,8.703299e-05,5.163436e-07,0.8664948,0.00029887742,6.323269e-05,7.1710865e-10,0.033421304,0.0024604215,2.7250999e-05
WP_000007678.1,0.00041479227,5.4471282e-05,5.232334e-07,0.9320707,0.00033085316,5.591771e-05,5.914412e-10,0.03485849,0.0004895369,3.149389e-05
WP_000007967.1,0.00016965937,0.00013358754,5.269872e-07,0.9106366,0.00021582756,0.00022020855,8.461749e-10,0.07231482,0.002121179,2.6510306e-05
WP_000008673.1,0.00073445356,5.08278e-05,5.3108954e-07,0.8746799,0.00025771753,4.4819597e-05,3.3161787e-10,0.032884646,0.0007102184,1.230465e-05
WP_000009069.1,0.00022214104,0.00012245229,3.880106e-07,0.8487389,0.00010175764,0.00018002474,3.7965753e-10,0.06449773,0.0007151677,1.406953e-05
WP_000009238.1,0.00096914516,5.4956312e-05,2.837258e-07,0.83760256,0.00077889126,9.2631824e-05,5.4377003e-10,0.036696967,0.0024933442,3.9646602e-05
WP_000011542.1,0.0001971715,0.00013585071,5.163805e-07,0.9052436,0.0001987887,0.00012470508,6.3552785e-10,0.053684957,0.0013007097,1.8865916e-05
WP_000011687.1,0.0005894363,7.354245e-05,7.04045e-07,0.8195688,0.00059336337,9.217249e-05,6.282963e-10,0.043105952,0.001636878,1.920851e-05
WP_000011688.1,0.00068949524,5.4211192e-05,3.515139e-07,0.9302875,0.0007013825,0.000108176886,5.397442e-10,0.03060202,0.0017710271,3.2080385e-05
WP_000011826.1,0.0011049791,5.4075295e-05,4.6481324e-07,0.8400447,0.00017243011,0.00010963229,4.5626214e-10,0.040680222,0.0018405899,2.1172627e-05
WP_000017736.1,0.00016371194,0.00013315692,5.567766e-07,0.92034817,0.00024224531,0.00014039,4.676999e-10,0.06770386,0.0015430122,1.7844168e-05
WP_000018608.1,0.0007644544,7.151968e-05,5.108924e-07,0.85835207,0.00030150643,0.000111687266,7.749461e-10,0.06966339,0.0014196221,2.6729029e-05
WP_000019127.1,0.00021417263,0.00014153979,4.6033912e-07,0.8940067,0.00015284585,0.00018946326,6.8071476e-10,0.06206687,0.0025888449,1.1450571e-05
WP_000019691.1,0.0005936372,7.14864e-05,4.8670216e-07,0.91008574,0.00016958288,9.7940596e-05,5.29016e-10,0.031142399,0.00066170946,1.2615221e-05
