id,function,function_num
WP_000002304.1,no_hit,11
WP_000002542.1,no_hit,11
WP_000002701.1,transcription_regulation,7
WP_000002907.1,lysis,1
WP_000002953.1,no_hit,11
WP_000003075.1,no_hit,11
WP_000003150.1,no_hit,11
WP_000003314.1,dna_rna_and_nucleotide_metabolism,4
WP_000003377.1,no_hit,11
WP_000003653.1,no_hit,11
WP_000003742.1,integration_and_excision,10
WP_000003820.1,dna_rna_and_nucleotide_metabolism,4
WP_000004024.1,no_hit,11
WP_000004459.1,no_hit,11
WP_000004488.1,connector,3
WP_000004620.1,moron_auxiliary_metabolic_gene_and_host_takeover,8
WP_000004655.1,tail,2
WP_000004771.1,dna_rna_and_nucleotide_metabolism,4
WP_000004940.1,unknown_function,9
WP_000005042.1,transcription_regulation,7
WP_000005394.1,tail,2
WP_000005552.1,integration_and_excision,10
WP_000005995.1,no_hit,11
WP_000006621.1,no_hit,11
WP_000006821.1,dna_rna_and_nucleotide_metabolism,4
WP_000007095.1,unknown_function,9
WP_000007283.1,no_hit,11
WP_000007440.1,transcription_regulation,7
WP_000007449.1,no_hit,11
WP_000007629.1,lysis,1
WP_000008211.1,other,6
WP_000008235.1,other,6
WP_000008967.1,lysis,1
WP_000009307.1,moron_auxiliary_metabolic_gene_and_host_takeover,8
WP_000010147.1,dna_rna_and_nucleotide_metabolism,4
WP_000010271.1,no_hit,11
WP_000010422.1,no_hit,11
WP_000010739.1,other,6
WP_000011108.1,moron_auxiliary_metabolic_gene_and_host_takeover,8
WP_000011613.1,no_hit,11
WP_000011656.1,no_hit,11
WP_000011970.1,no_hit,11
WP_000012163.1,moron_auxiliary_metabolic_gene_and_host_takeover,8
WP_000012247.1,dna_rna_and_nucleotide_metabolism,4
WP_000012257.1,no_hit,11
WP_000012572.1,no_hit,11
WP_000012925.1,dna_rna_and_nucleotide_metabolism,4
WP_000013046.1,no_hit,11
WP_000013136.1,dna_rna_and_nucleotide_metabolism,4
WP_000013477.1,unknown_function,9
WP_000013513.1,moron_auxiliary_metabolic_gene_and_host_takeover,8
WP_000013588.1,no_hit,11
WP_000013738.1,no_hit,11
WP_000014036.1,moron_auxiliary_metabolic_gene_and_host_takeover,8
WP_000014216.1,no_hit,11
WP_000014320.1,no_hit,11
WP_000014370.1,moron_auxiliary_metabolic_gene_and_host_takeover,8
WP_000014594.1,other,6
WP_000015473.1,connector,3
WP_000015492.1,transcription_regulation,7
WP_000015617.1,no_hit,11
WP_000015802.1,moron_auxiliary_metabolic_gene_and_host_takeover,8
WP_000016225.1,dna_rna_and_nucleotide_metabolism,4
WP_000016907.1,no_hit,11
WP_000016989.1,integration_and_excision,10
WP_000017110.1,connector,3
WP_000017339.1,transcription_regulation,7
WP_000017561.1,unknown_function,9
WP_000017595.1,moron_auxiliary_metabolic_gene_and_host_takeover,8
WP_000017703.1,moron_auxiliary_metabolic_gene_and_host_takeover,8
WP_000018008.1,no_hit,11
WP_000018366.1,moron_auxiliary_metabolic_gene_and_host_takeover,8
WP_000018588.1,no_hit,11
WP_000018633.1,transcription_regulation,7
WP_000018678.1,other,6
WP_000018760.1,moron_auxiliary_metabolic_gene_and_host_takeover,8
